Category,PurchaseAmount
Clothing,10766
Books,3505
Books,3392
Clothing,3702
Books,15510
Clothing,2005
Clothing,6304
Beauty,5011
Electronics,3096
Electronics,4828
Clothing,7502
Food,2046
Food,13261
Clothing,13390
Clothing,11166
Books,2817
Electronics,17549
Electronics,7367
Electronics,11280
Clothing,5201
Books,4513
Clothing,20023
Health,6800
Books,9072
Electronics,14499
Home,2367
Clothing,2070
Health,17613
Electronics,15750
Electronics,3046
Electronics,4089
Electronics,6530
Clothing,13191
Books,7902
Food,1605
Electronics,4700
Electronics,15633
Clothing,10891
Electronics,2444
Health,1374
Books,12181
Health,5328
Clothing,3700
Electronics,13344
Clothing,6711
Electronics,13480
Home,12027
Health,15251
Books,8926
Health,3613
Books,5770
Food,14909
Electronics,15494
Home,12216
Books,14284
Clothing,8737
Books,6730
Electronics,6837
Electronics,8516
Health,12000
Food,13727
Food,11675
Electronics,13327
Home,6514
Health,19197
Beauty,4477
Clothing,3133
Food,13736
Food,10298
Health,2092
Electronics,6088
Electronics,5486
Electronics,3659
Books,11464
Food,14646
Clothing,5505
Books,14439
Home,5431
Electronics,4519
Clothing,8579
Home,11516
Books,3637
Health,13585
Clothing,1428
Food,10967
Electronics,8726
Food,7519
Health,3454
Books,5955
Electronics,11233
Food,17296
Electronics,2495
Beauty,13592
Clothing,16169
Books,15234
Food,4119
Electronics,11987
Electronics,1922
Food,17164
Clothing,3808
Books,11540
Health,4733
Clothing,3368
Food,7421
Electronics,11775
Electronics,1953
Clothing,3011
Beauty,12216
Electronics,3788
Clothing,5206
Electronics,10565
Home,3340
Clothing,10740
Books,8739
Food,14525
Books,16610
Books,10307
Books,11876
Food,6802
Health,7049
Food,17793
Food,16860
Clothing,14610
Electronics,10898
Clothing,2328
Clothing,6242
Electronics,10176
Electronics,13925
Clothing,17662
Clothing,1757
Clothing,9356
Books,20031
Electronics,14199
Health,14287
Clothing,8451
Food,11452
Food,16478
Books,5838
Clothing,3315
Health,6677
Clothing,6304
Health,3260
Beauty,3456
Beauty,7087
Food,2344
Clothing,7696
Clothing,12475
Electronics,6960
Electronics,8517
Electronics,8160
Health,3690
Clothing,10450
Beauty,5330
Electronics,11086
Electronics,4169
Electronics,9292
Electronics,8044
Food,15171
Books,12888
Clothing,5857
Clothing,10807
Electronics,20849
Clothing,11700
Food,13472
Clothing,9466
Beauty,2741
Electronics,3783
Food,4067
Books,6203
Clothing,1889
Electronics,2711
Health,9829
Food,12727
Health,13761
Electronics,7371
Clothing,6179
Electronics,11739
Books,17865
Electronics,12215
Electronics,14650
Electronics,5202
Electronics,8152
Clothing,20542
Books,14813
Electronics,9092
Books,6028
Electronics,2044
Clothing,5410
Food,2182
Electronics,12953
Clothing,2032
Electronics,11012
Books,3005
Food,7913
Home,13722
Clothing,4508
Books,8692
Health,9471
Books,12326
Electronics,8164
Electronics,2502
Electronics,15650
Electronics,13149
Beauty,3540
Electronics,6972
Electronics,15498
Health,8939
Home,10457
Electronics,14156
Books,8908
Health,19859
Books,14375
Food,3902
Electronics,9818
Clothing,9491
Home,10338
Books,10484
Electronics,14138
Beauty,2171
Food,17300
Electronics,8130
Books,11746
Food,7827
Clothing,6097
Electronics,18644
Books,15880
Electronics,17901
Books,17744
Books,8883
Electronics,7217
Clothing,16224
Clothing,7651
Electronics,2200
Clothing,13453
Electronics,7515
Electronics,15014
Books,6078
Clothing,5370
Clothing,19632
Clothing,10534
Beauty,5690
Health,3271
Clothing,8744
Electronics,3097
Electronics,12742
Books,17184
Clothing,15318
Electronics,10820
Clothing,15355
Food,14231
Food,9344
Electronics,6688
Clothing,7136
Electronics,8771
Beauty,15626
Electronics,13495
Electronics,12438
Books,10381
Food,4895
Food,12260
Food,3764
Health,7796
Electronics,9357
Home,15901
Books,2900
Health,6093
Health,5908
Books,7142
Food,1953
Food,17953
Food,5459
Electronics,18576
Clothing,7194
Health,5438
Food,10035
Electronics,3764
Clothing,13484
Clothing,18511
Books,5436
Beauty,7868
Clothing,3467
Electronics,4938
Electronics,6422
Books,10995
Electronics,13964
Home,12679
Food,16856
Clothing,2897
Home,16472
Clothing,2139
Clothing,5744
Electronics,14412
Electronics,12277
Home,15799
Health,6510
Electronics,2345
Food,10554
Clothing,12688
Books,16470
Electronics,4106
Books,12035
Food,10104
Food,2375
Books,17393
Electronics,7957
Books,5785
Electronics,7624
Health,6651
Electronics,15833
Clothing,15568
Clothing,14936
Clothing,2385
Food,15872
Clothing,20153
Clothing,16182
Books,2193
Clothing,7780
Clothing,1964
Clothing,11850
Books,12800
Books,8172
Books,1797
Food,4051
Books,9712
Health,17951
Home,10103
Clothing,5355
Clothing,10685
Electronics,11246
Clothing,17328
Food,3803
Health,5436
Books,4614
Electronics,14201
Electronics,10181
Food,14883
Clothing,21727
Electronics,6760
Books,4845
Health,9975
Clothing,9004
Food,5401
Electronics,12120
Electronics,15795
Books,2505
Electronics,13006
Electronics,14052
Electronics,12296
Health,8902
Books,16519
Electronics,6911
Clothing,4765
Clothing,15849
Electronics,6599
Health,5559
Home,16680
Electronics,8760
Electronics,8351
Books,16457
Food,17021
Food,7556
Books,9722
Electronics,3529
Clothing,1316
Books,15499
Electronics,8560
Clothing,12450
Books,9803
Books,15282
Electronics,6460
Electronics,2735
Clothing,10984
Clothing,10916
Food,13985
Clothing,11280
Electronics,14676
Clothing,15349
Home,13308
Clothing,2306
Electronics,4065
Food,7480
Beauty,14457
Home,15975
Home,12862
Food,6938
Electronics,13613
Electronics,5768
Food,7619
Electronics,5665
Clothing,2257
Clothing,4730
Electronics,17309
Electronics,8797
Clothing,8088
Electronics,14047
Food,13872
Health,19936
Clothing,2516
Electronics,15312
Health,3472
Electronics,8592
Food,12897
Home,10671
Books,3990
Electronics,1869
Clothing,17125
Clothing,13299
Clothing,8469
Health,10003
Beauty,18636
Books,11892
Beauty,19629
Clothing,8277
Electronics,8999
Food,6647
Beauty,5211
Clothing,8887
Beauty,15102
Electronics,12880
Clothing,4888
Electronics,19827
Clothing,2712
Beauty,8411
Electronics,20754
Health,8313
Food,3109
Electronics,11381
Electronics,17162
Books,3635
Food,17131
Electronics,7611
Books,11288
Food,13940
Electronics,13264
Home,14496
Clothing,3933
Food,16316
Health,17188
Food,7036
Books,9556
Health,11233
Clothing,9797
Food,7295
Electronics,12356
Food,5425
Health,11105
Electronics,5274
Clothing,8331
Electronics,9314
Books,5855
Electronics,9823
Food,9131
Food,14192
Clothing,11068
Electronics,3336
Health,14697
Health,11606
Books,4278
Clothing,15250
Electronics,10418
Food,10214
Food,10539
Food,14005
Electronics,14819
Electronics,3105
Clothing,10935
Electronics,14062
Electronics,19388
Books,6834
Food,17827
Beauty,14562
Clothing,11778
Books,2791
Clothing,16222
Beauty,3712
Home,4501
Electronics,11111
Food,15559
Books,2552
Food,9107
Health,13435
Clothing,4011
Books,11196
Electronics,5196
Food,1704
Food,17386
Books,12569
Books,7202
Books,4622
Electronics,13410
Books,6529
Electronics,10783
Electronics,4557
Clothing,8276
Electronics,1908
Clothing,1738
Electronics,12820
Food,13494
Health,9127
Health,11937
Food,10604
Electronics,20868
Clothing,10083
Food,15214
Electronics,13133
Clothing,7915
Health,11831
Electronics,14925
Electronics,12335
Electronics,4439
Food,8696
Food,7896
Clothing,8128
Books,14004
Home,15024
Clothing,10042
Electronics,13624
Books,12723
Clothing,3347
Beauty,8724
Electronics,10411
Food,8085
Food,17678
Food,13482
Food,15473
Health,13963
Books,10126
Electronics,14489
Electronics,6070
Electronics,16643
Electronics,7577
Clothing,10824
Beauty,3651
Food,3479
Books,5239
Clothing,13091
Food,11171
Clothing,12877
Electronics,11659
Clothing,4375
Electronics,18201
Health,6065
Electronics,6667
Home,6104
Electronics,14979
Electronics,4794
Beauty,10398
Electronics,16804
Health,3202
Clothing,9032
Health,5741
Clothing,11191
Clothing,19835
Food,8804
Electronics,12079
Food,2201
Electronics,5231
Electronics,9140
Clothing,7769
Electronics,7865
Electronics,9623
Books,8907
Food,10879
Electronics,12246
Beauty,2159
Electronics,15077
Books,5339
Food,2230
Clothing,13867
Clothing,12892
Books,3225
Clothing,10701
Clothing,19474
Health,15618
Electronics,10901
Electronics,6217
Food,7744
Food,4067
Food,2323
Electronics,3365
Food,3124
Electronics,3121
Clothing,19285
Clothing,17164
Health,6691
Electronics,1718
Clothing,3724
Electronics,7321
Clothing,3725
Electronics,8090
Books,7912
Electronics,2561
Books,19203
Electronics,1854
Home,4127
Health,10761
Electronics,4438
Food,9545
Electronics,4568
Clothing,8412
Books,12799
Health,16246
Health,4967
Home,2855
Clothing,5619
Electronics,4695
Electronics,15883
Books,1890
Home,13145
Food,10159
Electronics,10723
Clothing,3932
Electronics,16571
Clothing,5712
Electronics,1838
Clothing,15850
Electronics,7472
Food,9676
Health,9169
Home,15376
Food,12076
Health,16734
Food,15863
Electronics,14023
Food,9537
Food,18345
Health,9602
Health,9199
Food,3475
Electronics,11673
Food,13791
Electronics,13294
Books,14097
Health,13280
Books,6635
Clothing,6280
Electronics,7708
Electronics,6939
Electronics,9761
Electronics,5163
Food,5196
Food,15553
Books,14432
Home,5036
Electronics,14298
Clothing,12994
Beauty,4882
Food,13994
Electronics,9232
Electronics,10599
Clothing,8891
Electronics,10835
Electronics,11280
Clothing,4280
Home,5054
Books,16222
Electronics,1919
Electronics,19162
Food,1920
Books,16333
Food,6766
Food,3568
Clothing,17721
Food,6637
Electronics,17633
Electronics,11577
Books,16277
Electronics,15120
Beauty,8928
Electronics,12892
Books,5884
Electronics,10466
Food,10007
Electronics,16269
Electronics,4806
Books,2681
Food,4064
Books,9897
Beauty,10127
Books,7706
Health,12457
Home,6770
Books,14955
Food,8600
Electronics,16185
Clothing,11513
Home,1923
Books,11223
Clothing,6632
Clothing,6296
Electronics,2542
Health,3946
Beauty,9363
Books,18519
Food,12638
Clothing,8511
Clothing,10298
Electronics,12556
Beauty,12725
Clothing,14382
Electronics,17244
Electronics,5276
Electronics,4980
Food,1416
Electronics,9997
Food,5456
Health,5009
Clothing,3059
Electronics,4290
Clothing,12247
Food,8097
Clothing,11235
Books,11829
Books,8120
Clothing,4649
Books,14243
Electronics,11566
Food,8778
Books,11020
Electronics,3634
Health,7564
Electronics,6062
Books,12875
Home,6384
Books,18679
Clothing,15914
Books,11783
Home,9818
Electronics,17861
Food,2528
Clothing,3865
Electronics,12273
Electronics,18027
Books,16275
Electronics,5953
Clothing,7742
Electronics,11785
Electronics,5801
Electronics,16085
Electronics,11514
Electronics,18593
Beauty,6633
Beauty,10122
Electronics,8603
Books,9768
Electronics,16113
Beauty,3282
Clothing,12543
Clothing,15784
Electronics,12833
Electronics,13862
Electronics,4587
Electronics,7532
Books,4577
Books,11853
Health,3834
Books,7288
Beauty,12570
Health,9305
Books,9811
Books,15176
Electronics,5408
Electronics,3877
Clothing,8541
Books,18147
Health,1496
Electronics,12831
Electronics,8093
Electronics,5654
Food,3875
Beauty,1889
Clothing,10054
Food,5584
Food,4764
Clothing,15326
Electronics,1903
Electronics,8661
Food,14859
Health,8051
Electronics,5517
Clothing,4441
Food,18349
Books,14771
Food,17264
Clothing,9571
Electronics,6027
Clothing,9828
Home,12218
Electronics,15001
Food,2555
Electronics,15875
Electronics,10719
Books,14317
Beauty,11723
Food,10846
Clothing,11272
Electronics,10385
Books,14616
Electronics,10303
Books,3660
Health,12116
Clothing,5721
Books,16732
Health,1851
Clothing,8441
Books,4992
Food,3429
Electronics,2607
Clothing,6976
Clothing,9479
Food,1697
Clothing,19831
Clothing,9768
Books,9820
Home,7548
Books,1959
Clothing,6241
Electronics,2598
Electronics,1874
Health,15556
Electronics,9069
Books,19431
Health,13250
Electronics,9820
Electronics,3166
Health,13339
Clothing,10180
Beauty,2863
Books,5058
Electronics,6956
Clothing,3708
Beauty,15741
Books,3532
Books,3829
Health,13094
Health,3988
Electronics,19359
Clothing,9758
Electronics,4721
Beauty,13560
Food,10527
Books,8613
Electronics,18236
Electronics,8183
Books,12987
Books,13224
Electronics,17967
Electronics,6174
Books,9007
Home,14961
Books,11072
Health,5787
Food,12838
Home,20152
Electronics,7758
Electronics,5777
Clothing,14945
Food,2285
Clothing,11678
Food,7026
Books,3080
Electronics,12156
Home,1668
Clothing,5987
Home,3404
Health,16149
Electronics,13395
Home,13757
Electronics,11956
Clothing,10386
Beauty,5848
Beauty,11704
Health,7892
Health,16559
Books,5371
Books,15165
Electronics,5403
Electronics,10008
Electronics,4931
Electronics,5930
Books,5647
Beauty,13774
Electronics,9365
Electronics,10757
Electronics,13383
Home,3320
Books,15321
Food,8513
Electronics,5537
Health,16061
Electronics,13587
Electronics,13725
Food,4010
Clothing,11191
Food,8802
Health,6343
Home,3757
Clothing,13841
Electronics,17482
Beauty,14687
Books,14173
Electronics,8687
Food,22956
Clothing,11508
Health,2607
Electronics,14586
Electronics,8142
Clothing,12466
Food,6400
Electronics,8648
Food,10973
Clothing,7788
Electronics,24147
Clothing,18261
Electronics,10348
Clothing,11709
Clothing,15651
Electronics,8805
Health,5475
Beauty,7271
Food,5570
Books,8395
Books,11968
Books,3783
Books,9587
Beauty,5136
Electronics,11120
Food,10767
Clothing,2740
Clothing,9526
Clothing,14374
Electronics,21580
Electronics,5344
Home,6166
Clothing,5750
Beauty,7477
Electronics,1478
Clothing,10307
Health,13068
Electronics,18641
Electronics,10590
Books,12537
Electronics,16047
Health,7407
Clothing,17824
Electronics,12048
Electronics,8515
Health,8905
Clothing,8610
Clothing,5540
Food,9923
Home,9160
Food,2303
Food,4018
Beauty,13366
Food,4094
Electronics,5469
Electronics,5674
Health,2285
Electronics,5489
Electronics,13385
Electronics,7838
Electronics,7562
Electronics,14644
Electronics,5509
Electronics,12746
Electronics,9605
Beauty,6311
Books,8127
Books,13742
Books,3515
Beauty,8536
Clothing,11903
Health,9760
Food,4299
Electronics,9066
Electronics,18957
Clothing,12013
Food,12384
Books,18754
Clothing,11099
Food,5154
Books,10535
Books,8742
Food,5937
Electronics,9211
Health,13280
Electronics,3779
Clothing,9253
Food,4344
Electronics,17460
Clothing,7427
Food,6942
Clothing,8887
Electronics,2369
Electronics,14980
Food,6809
Clothing,2722
Books,10072
Health,16753
Electronics,12804
Clothing,6197
Food,13758
Food,1641
Clothing,2240
Clothing,17946
Electronics,8524
Electronics,9985
Clothing,6823
Clothing,12052
Clothing,8457
Books,11264
Books,15752
Books,11667
Electronics,7351
Clothing,12188
Health,7235
Health,4567
Electronics,14824
Electronics,9670
Books,4483
Food,5952
Electronics,10278
Clothing,11311
Electronics,2588
Electronics,7865
Electronics,12296
Books,3922
Electronics,8125
Food,12796
Electronics,5415
Home,14618
Clothing,16243
Food,6211
Clothing,8540
Clothing,15300
Beauty,6016
Food,7483
Beauty,8207
Clothing,5986
Electronics,5707
Books,17114
Health,1949
Books,2773
Electronics,5398
Health,14854
Books,4649
Books,4557
Food,15337
Food,6206
Clothing,12139
Beauty,19614
Clothing,2641
Food,5476
Health,13189
Electronics,6922
Home,6551
Clothing,16671
Electronics,13512
Clothing,4851
Electronics,20592
Health,3095
Clothing,3207
Clothing,11631
Electronics,18995
Books,3720
Books,6321
Electronics,18163
Clothing,6658
Beauty,5334
Beauty,2361
Electronics,3325
Electronics,7789
Clothing,2918
Electronics,10023
Electronics,4455
Clothing,12240
Books,7642
Clothing,16744
Electronics,4063
Beauty,13240
Electronics,14770
Electronics,3608
Books,7247
Clothing,9713
Electronics,9453
Electronics,17967
Clothing,7158
Electronics,4124
Electronics,10435
Electronics,9618
Clothing,2405
Electronics,14473
Electronics,7003
Electronics,17702
Electronics,15410
Clothing,2383
Beauty,7068
Beauty,16483
Clothing,12209
Books,14367
Electronics,13340
Clothing,2165
Books,2378
Clothing,4254
Books,5671
Health,15028
Food,9748
Books,3473
Books,8511
Home,6694
Beauty,3528
Food,11356
Food,11250
Books,10435
Electronics,2926
Electronics,5034
Electronics,3736
Electronics,18551
Electronics,14830
Electronics,7905
Clothing,5157
Clothing,15732
Food,9314
Food,10589
Electronics,10987
Food,8108
Books,10491
Books,8362
Books,9611
Electronics,14673
Books,15073
Electronics,4358
Clothing,13780
Health,13637
Electronics,10935
Beauty,6660
Electronics,15390
Home,12622
Clothing,4221
Books,5643
Food,8870
Home,15260
Health,4708
Electronics,1623
Books,3939
Books,8618
Food,7044
Electronics,6634
Clothing,2769
Electronics,11019
Home,3351
Electronics,14779
Food,10844
Electronics,11404
Food,11879
Food,4479
Books,15064
Clothing,2238
Clothing,11426
Books,6320
Food,16268
Clothing,4852
Electronics,5955
Clothing,8561
Home,7665
Electronics,10489
Electronics,16134
Electronics,4066
Books,13272
Books,11975
Clothing,12339
Beauty,2713
Beauty,2010
Books,13747
Clothing,17779
Electronics,7416
Home,3930
Clothing,15636
Clothing,10986
Books,14240
Electronics,17958
Electronics,6413
Food,2581
Books,3098
Books,6244
Food,10747
Books,18324
Electronics,7986
Home,5914
Electronics,7723
Home,7229
Electronics,8784
Food,13522
Electronics,13913
Electronics,4100
Beauty,1766
Home,7071
Health,12299
Food,8095
Electronics,6758
Food,2982
Clothing,8114
Electronics,5751
Clothing,3438
Books,11054
Home,7519
Clothing,10310
Clothing,9574
Clothing,11027
Books,15401
Clothing,9396
Clothing,15509
Food,5848
Clothing,13971
Electronics,3111
Food,9705
Electronics,17807
Electronics,10427
Electronics,16960
Health,7069
Clothing,8968
Electronics,5216
Clothing,8758
Electronics,12698
Clothing,8720
Electronics,8819
Books,14348
Food,7534
Books,2149
Books,6307
Food,7743
Clothing,6458
Books,5938
Clothing,8070
Beauty,20614
Food,1809
Home,12631
Electronics,16143
Electronics,15362
Electronics,14251
Health,15260
Books,7257
Food,11363
Electronics,19466
Books,6103
Food,13520
Electronics,4995
Books,7508
Health,1918
Health,17968
Books,9504
Clothing,5537
Books,4110
Food,15665
Clothing,15644
Electronics,2917
Clothing,15938
Beauty,10395
Clothing,4877
Food,14192
Books,6120
Electronics,12739
Food,12456
Electronics,10464
Food,3221
Food,2628
Electronics,3635
Electronics,9907
Home,10474
Electronics,5534
Beauty,13147
Clothing,6434
Clothing,13556
Books,15809
Clothing,3979
Books,8287
Electronics,12198
Clothing,4262
Clothing,4924
Clothing,2714
Food,9518
Electronics,10330
Clothing,11409
Home,3645
Electronics,23483
Beauty,5393
Electronics,15569
Electronics,5169
Books,14527
Books,6608
Electronics,17045
Clothing,10115
Electronics,13771
Electronics,3960
Books,7914
Electronics,13235
Food,15045
Electronics,5682
Electronics,7507
Beauty,7090
Clothing,18440
Food,7632
Food,20487
Food,6653
Electronics,5569
Electronics,3008
Books,3283
Clothing,2708
Food,9489
Clothing,6449
Electronics,6005
Electronics,15313
Clothing,12527
Books,9639
Books,14325
Food,13809
Health,17793
Electronics,15242
Clothing,14750
Clothing,5519
Electronics,14230
Clothing,9886
Home,13812
Home,14192
Electronics,12878
Clothing,2729
Electronics,8454
Electronics,10124
Beauty,5350
Books,7715
Health,6423
Beauty,10619
Clothing,4163
Health,8595
Books,13953
Books,15767
Clothing,6214
Electronics,12182
Food,4941
Electronics,15911
Beauty,16339
Home,13525
Electronics,4244
Food,4577
Books,2477
Electronics,5710
Clothing,3100
Home,12867
Clothing,11848
Books,19125
Electronics,12004
Home,6623
Clothing,9042
Food,13119
Electronics,10164
Electronics,15047
Clothing,6478
Health,3893
Home,10170
Electronics,6076
Electronics,10724
Clothing,9519
Health,6035
Electronics,10464
Clothing,10464
Health,7487
Books,12632
Health,18229
Electronics,11987
Home,11613
Electronics,10938
Health,2600
Food,4297
Clothing,7140
Food,14685
Electronics,9701
Electronics,11562
Health,18040
Clothing,15000
Books,2115
Beauty,7098
Electronics,9828
Books,15622
Home,13306
Clothing,2600
Electronics,15303
Home,9961
Books,3965
Beauty,16644
Food,1809
Food,10643
Clothing,13021
Clothing,5086
Electronics,3367
Electronics,19967
Food,9840
Health,4563
Clothing,8039
Clothing,17804
Food,9067
Food,14588
Electronics,8682
Home,20159
Electronics,6425
Electronics,2855
Food,15439
Books,5114
Electronics,6194
Beauty,8494
Electronics,11847
Clothing,2242
Electronics,16461
Books,10158
Beauty,17404
Electronics,9877
Home,13679
Books,1963
Books,16307
Health,2769
Clothing,11791
Electronics,2047
Beauty,21472
Books,11845
Books,18974
Electronics,9003
Electronics,8529
Electronics,8569
Clothing,11894
Beauty,8509
Food,6294
Electronics,6562
Electronics,13835
Clothing,12477
Food,2888
Clothing,13444
Electronics,8405
Food,8535
Home,5784
Food,15248
Books,11261
Electronics,14548
Electronics,2776
Electronics,6637
Books,13950
Books,8383
Food,13379
Clothing,12707
Clothing,5201
Clothing,3659
Electronics,8620
Health,6431
Books,6630
Beauty,9412
Clothing,7282
Home,13439
Health,3943
Food,14053
Beauty,14684
Books,5619
Electronics,3933
Clothing,1986
Electronics,13631
Food,6716
Books,5863
Clothing,6875
Electronics,9509
Electronics,12236
Books,4943
Clothing,11749
Electronics,9604
Clothing,2185
Food,2178
Books,5282
Electronics,3302
Home,9498
Clothing,2394
Home,10995
Books,10726
Books,16781
Electronics,5437
Food,5399
Clothing,14084
Clothing,6196
Books,10275
Books,7013
Electronics,12682
Clothing,2937
Electronics,4153
Home,10154
Books,13150
Food,11723
Beauty,6446
Beauty,16494
Home,10176
Clothing,10530
Beauty,10216
Books,10099
Clothing,11841
Books,9212
Clothing,12314
Electronics,5093
Food,10547
Clothing,14716
Books,12540
Food,2855
Home,3779
Food,17807
Health,4459
Books,4896
Electronics,4126
Health,2541
Food,6313
Health,2488
Electronics,5433
Books,3642
Clothing,5435
Food,8081
Electronics,15747
Food,14128
Books,13273
Health,11260
Clothing,13797
Clothing,17583
Electronics,14865
Clothing,3572
Clothing,7491
Electronics,15595
Electronics,9137
Electronics,16821
Health,8530
Books,12450
Health,9939
Clothing,3011
Beauty,2550
Beauty,14450
Home,16359
Books,2472
Books,2459
Electronics,9939
Electronics,15200
Electronics,7921
Clothing,3491
Food,13021
Books,8295
Food,11656
Health,11614
Electronics,16355
Health,4600
Health,17905
Health,6993
Electronics,4911
Clothing,12668
Electronics,19185
